aptCode,aptName,dongCode,dongName,buildYear,jibun,lat,lng,img,avgDealAmount,totalDealCount
4738,새티스,1165010200,양재동,2000,359,37.4684649,127.0445488,NULL,79500,2
4739,신반포13,1165010600,잠원동,1981,52-2,37.5169287,127.0138343,NULL,223500,2
4740,잠원시티아파트,1165010600,잠원동,2017,71-8,37.5117539,127.0053375,NULL,43000,1
4741,하늘.바람,1165010700,반포동,2003,612-32,37.4967203,126.9939961,NULL,209500,1
4742,끄레메빌,1165010800,서초동,1999,1630-4,37.4898504,127.020446,NULL,172000,1
4743,"더#오데움(101,102동)",1165010800,서초동,2005,1483-18,37.4824663,127.0096381,NULL,202500,2
4744,제이씨라디앙,1165010800,서초동,2005,1559-1,37.4900669,127.0113832,NULL,83500,1
4745,서초타운트라팰리스,1165010800,서초동,2006,1327,37.4955719,127.0270752,NULL,108000,5
4746,월드메르디앙,1165010800,서초동,2002,1549-3,37.4901662,127.0104433,NULL,147500,1
4747,서초자연인아파트(101동),1165010800,서초동,2012,1344-22,37.4871831,127.0277335,NULL,39400,1
4748,(1532-10),1165010800,서초동,2017,1532-10,37.4842905,127.0093664,NULL,71000,1
4749,서초동아타워,1165010800,서초동,1996,1321-6,37.4959396,127.0252259,NULL,109500,2
4750,상지리츠빌(1),1165010800,서초동,2002,1490-1,37.4828232,127.0022556,NULL,151000,1
4751,서초지웰,1165010800,서초동,2005,1458-6,37.4842058,127.0136789,NULL,112400,5
4752,역삼푸르지오,1165010100,방배동,2006,754-1,37.4969267,126.984625,NULL,110000,1
4753,방배다움샤인힐,1165010100,방배동,2003,806-9,37.4922692,126.993374,NULL,162000,1
4754,힐스나인빌리지,1165010100,방배동,2012,799-5,37.4930759,126.9972125,NULL,185000,1
4755,태화빌라(733),1165010100,방배동,1994,733,37.4968821,126.99205,NULL,211000,1
4756,방배한화,1165010100,방배동,2001,169-24,37.48491509999999,126.9988074,NULL,138167,3
4757,방배대우(562-1),1165010100,방배동,1992,562-1,37.4757409,126.9910044,NULL,102000,1
4758,프라하임1차,1165010100,방배동,2006,978-2,37.4811323,126.992326,NULL,77000,1
4759,동원,1165010200,양재동,2001,352-11,37.4670821,127.0442611,NULL,64000,1
4760,우성112,1165010200,양재동,1991,137-1,37.47490260000001,127.0325562,NULL,105000,1
4761,양재,1165010200,양재동,2001,8-24,37.4837465,127.0390749,NULL,47000,1
4762,길명오퍼스,1165010200,양재동,2005,9-38,37.4824304,127.0396662,NULL,75500,1
4763,타운빌,1165010700,반포동,2002,76-2,37.4971664,126.9999523,NULL,81000,1
4764,로얄파크,1165010800,서초동,2005,1527-10,37.4843621,127.0085615,NULL,94000,1
4765,서초네스피아A,1165010800,서초동,2005,1466-2,37.4806353,127.0095209,NULL,96000,1
4766,트라움하우스2,1165010800,서초동,1996,1495-2,37.48578000000001,127.0021993,NULL,225000,1
4767,"서초 벽산블루밍",1165010800,서초동,2008,1464-4,37.481096,127.0117106,NULL,164000,2
4768,강남아르젠,1165010800,서초동,2014,1327-23,37.49539660000001,127.0275569,NULL,37150,2
4769,SK리더스뷰(파스텔시티),1165010100,방배동,2006,444-3,37.47765510000001,126.9822232,NULL,136750,2
4770,이연아마빌레,1165010100,방배동,2006,814-31,37.4921988,126.9894498,NULL,111900,2
4771,"방배아트 e편한세상",1165010100,방배동,2005,484-6,37.4752599,126.9911251,NULL,NULL,NULL
4772,골드아트빌,1165010100,방배동,2009,864-7,37.4867137,126.9855084,NULL,57000,1
4773,두원,1165010100,방배동,1996,473-1,37.477822,126.9853867,NULL,95000,1
4774,금강프리빌,1165010100,방배동,2001,940-8,37.4857784,126.9912968,NULL,119250,2
4775,방배신동아럭스빌,1165010100,방배동,2003,1026-14,37.4752793,127.0009461,NULL,140000,1
4776,방배대우멤버스카운티201,1165010100,방배동,2003,809-26,37.4918424,126.9924513,NULL,124500,1
4777,삼익,1165010100,방배동,1982,1018-1,37.4787922,127.0014386,NULL,NULL,NULL
4778,방배아펠바움,1165010100,방배동,2005,1-15,37.4952662,126.9942317,NULL,240000,1
4779,포레스빌,1165010200,양재동,2002,119-3,37.474664,127.0365434,NULL,75000,1
4780,금강,1165010200,양재동,2003,352-13,37.4673518,127.0446319,NULL,60667,3
4781,리치타운,1165010200,양재동,2002,203-2,37.4665076,127.0347727,NULL,61800,1
4782,비젼(103),1165010200,양재동,2003,16-21,37.4807798,127.0396862,NULL,77250,2
4783,해청3차,1165010200,양재동,2004,15-12,37.48120189999999,127.0385117,NULL,84500,1
4784,더-클라스,1165010200,양재동,2004,402-6,37.4714799,127.0503767,NULL,67000,1
4785,금일,1165010200,양재동,2002,6-11,37.482466,127.0413855,NULL,75000,2
4786,(66-3),1165010200,양재동,2006,66-3,37.4785455,127.0375066,NULL,152000,1
4787,서초네이처힐7단지,1165010300,우면동,2011,735,37.4617869,127.0231442,NULL,113583,6
4788,한신그린,1165010600,잠원동,1993,65-8,37.5134832,127.0078269,NULL,170000,1
